Label,Seed,Trainsize,NumEntities,UniqueEntities,AvgTokens,Lang,Model,F1
BEHÖRDE,6378,60,25,16,2.44,Spanish,Base,0.7070707070707071
JOURNALIST,6378,60,0,0,0.0,Spanish,Base,0.6666666666666666
MEDIEN,6378,60,1,1,2.0,Spanish,Base,0.8888888888888888
PARTEI,6378,60,20,13,1.5,Spanish,Base,0.891304347826087
POLITIKER,6378,60,38,33,2.736842105263158,Spanish,Base,0.8181818181818182
BEHÖRDE,6378,70,28,18,2.4285714285714284,Spanish,Base,0.6990291262135923
JOURNALIST,6378,70,0,0,0.0,Spanish,Base,0.0
MEDIEN,6378,70,1,1,2.0,Spanish,Base,0.7777777777777778
PARTEI,6378,70,21,13,1.4761904761904763,Spanish,Base,0.8631578947368421
POLITIKER,6378,70,39,34,2.717948717948718,Spanish,Base,0.8059701492537312
BEHÖRDE,6378,80,32,19,2.53125,Spanish,Base,0.7472527472527473
JOURNALIST,6378,80,0,0,0.0,Spanish,Base,1.0
MEDIEN,6378,80,1,1,2.0,Spanish,Base,0.7058823529411765
PARTEI,6378,80,23,14,1.6956521739130435,Spanish,Base,0.9032258064516128
POLITIKER,6378,80,48,39,2.625,Spanish,Base,0.8181818181818182
BEHÖRDE,6378,90,36,20,2.5555555555555554,Spanish,Base,0.7216494845360825
JOURNALIST,6378,90,0,0,0.0,Spanish,Base,1.0
MEDIEN,6378,90,1,1,2.0,Spanish,Base,0.7777777777777778
PARTEI,6378,90,24,14,1.6666666666666667,Spanish,Base,0.8695652173913044
POLITIKER,6378,90,50,41,2.6,Spanish,Base,0.8656716417910448
BEHÖRDE,6378,100,38,21,2.526315789473684,Spanish,Base,0.7741935483870968
JOURNALIST,6378,100,2,2,2.0,Spanish,Base,1.0
MEDIEN,6378,100,1,1,2.0,Spanish,Base,0.8421052631578948
PARTEI,6378,100,26,16,1.6153846153846154,Spanish,Base,0.8541666666666666
POLITIKER,6378,100,54,44,2.5925925925925926,Spanish,Base,0.8405797101449276
BEHÖRDE,6378,110,40,23,2.7,Spanish,Base,0.7272727272727274
JOURNALIST,6378,110,2,2,2.0,Spanish,Base,1.0
MEDIEN,6378,110,1,1,2.0,Spanish,Base,0.9473684210526316
PARTEI,6378,110,35,18,1.6285714285714286,Spanish,Base,0.8571428571428572
POLITIKER,6378,110,56,45,2.5714285714285716,Spanish,Base,0.8405797101449276
BEHÖRDE,6378,120,42,23,2.6904761904761907,Spanish,Base,0.75
JOURNALIST,6378,120,2,2,2.0,Spanish,Base,0.0
MEDIEN,6378,120,1,1,2.0,Spanish,Base,0.823529411764706
PARTEI,6378,120,37,19,1.5945945945945945,Spanish,Base,0.8723404255319148
POLITIKER,6378,120,57,46,2.543859649122807,Spanish,Base,0.8529411764705882
BEHÖRDE,6378,130,44,25,2.6818181818181817,Spanish,Base,0.7500000000000001
JOURNALIST,6378,130,2,2,2.0,Spanish,Base,0.0
MEDIEN,6378,130,16,16,1.75,Spanish,Base,0.7999999999999999
PARTEI,6378,130,37,19,1.5945945945945945,Spanish,Base,0.8936170212765957
POLITIKER,6378,130,59,48,2.4915254237288136,Spanish,Base,0.8529411764705882
BEHÖRDE,6378,140,48,27,2.6666666666666665,Spanish,Base,0.7422680412371134
JOURNALIST,6378,140,2,2,2.0,Spanish,Base,0.0
MEDIEN,6378,140,18,18,1.7777777777777777,Spanish,Base,0.9473684210526316
PARTEI,6378,140,41,20,1.5609756097560976,Spanish,Base,0.8842105263157894
POLITIKER,6378,140,66,53,2.4393939393939394,Spanish,Base,0.8405797101449276
BEHÖRDE,6378,150,52,29,2.5961538461538463,Spanish,Base,0.7676767676767676
JOURNALIST,6378,150,2,2,2.0,Spanish,Base,0.0
MEDIEN,6378,150,18,18,1.7777777777777777,Spanish,Base,0.9473684210526316
PARTEI,6378,150,41,20,1.5609756097560976,Spanish,Base,0.924731182795699
POLITIKER,6378,150,71,58,2.464788732394366,Spanish,Base,0.8450704225352113
BEHÖRDE,6378,160,60,31,2.6166666666666667,Spanish,Base,0.7391304347826088
JOURNALIST,6378,160,2,2,2.0,Spanish,Base,0.0
MEDIEN,6378,160,18,18,1.7777777777777777,Spanish,Base,1.0
PARTEI,6378,160,43,21,1.5813953488372092,Spanish,Base,0.9032258064516128
POLITIKER,6378,160,73,59,2.4246575342465753,Spanish,Base,0.8450704225352113
BEHÖRDE,6378,170,63,33,2.6825396825396823,Spanish,Base,0.7659574468085107
JOURNALIST,6378,170,2,2,2.0,Spanish,Base,0.0
MEDIEN,6378,170,24,24,1.7083333333333333,Spanish,Base,1.0
PARTEI,6378,170,44,22,1.5681818181818181,Spanish,Base,0.9148936170212768
POLITIKER,6378,170,77,62,2.3896103896103895,Spanish,Base,0.8571428571428571
BEHÖRDE,6378,180,69,35,2.652173913043478,Spanish,Base,0.7254901960784312
JOURNALIST,6378,180,2,2,2.0,Spanish,Base,0.0
MEDIEN,6378,180,24,24,1.7083333333333333,Spanish,Base,1.0
PARTEI,6378,180,48,25,1.5625,Spanish,Base,0.9333333333333332
POLITIKER,6378,180,79,63,2.4050632911392404,Spanish,Base,0.9066666666666668
BEHÖRDE,6378,190,74,38,2.6216216216216215,Spanish,Base,0.7884615384615384
JOURNALIST,6378,190,2,2,2.0,Spanish,Base,1.0
MEDIEN,6378,190,24,24,1.7083333333333333,Spanish,Base,0.9473684210526316
PARTEI,6378,190,50,25,1.58,Spanish,Base,0.8888888888888888
POLITIKER,6378,190,85,65,2.458823529411765,Spanish,Base,0.8333333333333334
BEHÖRDE,6378,200,79,38,2.5822784810126582,Spanish,Base,0.7835051546391751
JOURNALIST,6378,200,2,2,2.0,Spanish,Base,0.0
MEDIEN,6378,200,24,24,1.7083333333333333,Spanish,Base,1.0
PARTEI,6378,200,54,25,1.537037037037037,Spanish,Base,0.9347826086956522
POLITIKER,6378,200,91,67,2.4395604395604398,Spanish,Base,0.823529411764706
BEHÖRDE,6378,210,84,39,2.630952380952381,Spanish,Base,0.7647058823529411
JOURNALIST,6378,210,2,2,2.0,Spanish,Base,0.0
MEDIEN,6378,210,25,24,1.72,Spanish,Base,1.0
PARTEI,6378,210,55,26,1.5454545454545454,Spanish,Base,0.946236559139785
POLITIKER,6378,210,94,69,2.404255319148936,Spanish,Base,0.8732394366197184
BEHÖRDE,6378,220,85,39,2.611764705882353,Spanish,Base,0.7959183673469388
JOURNALIST,6378,220,2,2,2.0,Spanish,Base,0.0
MEDIEN,6378,220,26,25,1.7307692307692308,Spanish,Base,0.9473684210526316
PARTEI,6378,220,56,26,1.5357142857142858,Spanish,Base,0.9148936170212768
POLITIKER,6378,220,97,71,2.381443298969072,Spanish,Base,0.9315068493150684
