Trainset,Model,Seed,Trainsize,Test_size,Best_step,Total_steps,OVERALL,RECALL,PRECISION,BEHÖRDE,JOURNALIST,MEDIEN,PARTEI,POLITIKER
English,Base,6378,20,68,69,200,0.7072463768115941,0.6777777777777778,0.7393939393939394,0.4931506849315069,0.0,0.0,0.8148148148148148,0.7654320987654321
English,Base,6378,30,68,190,300,0.7247191011235956,0.675392670157068,0.7818181818181819,0.575,0.0,0.0,0.75,0.7791164658634537
English,Base,6378,40,68,180,400,0.7493261455525606,0.6747572815533981,0.8424242424242424,0.7045454545454545,0.0,0.0,0.8148148148148148,0.7637795275590551
English,Base,6378,50,68,257,500,0.7790055248618785,0.7157360406091371,0.8545454545454545,0.7500000000000001,0.0,0.0,0.8148148148148148,0.7918367346938776
English,Base,6378,60,68,499,600,0.7595628415300546,0.6915422885572139,0.8424242424242424,0.7333333333333334,0.0,0.0,0.8148148148148148,0.7692307692307693
English,Base,6378,70,68,496,700,0.7813411078717201,0.7528089887640449,0.8121212121212121,0.7727272727272727,0.0,0.0,0.7692307692307692,0.7929515418502202
English,Base,6378,80,68,768,800,0.8046647230320699,0.7752808988764045,0.8363636363636363,0.8505747126436782,0.0,0.0,0.7857142857142857,0.7964601769911505
English,Base,6378,90,68,649,900,0.7942028985507247,0.7611111111111111,0.8303030303030303,0.7727272727272727,0.0,0.0,0.7857142857142857,0.8105726872246697
English,Base,6378,100,68,628,1000,0.8000000000000002,0.8,0.8,0.7906976744186047,0.0,0.0,0.7857142857142857,0.8130841121495327
English,Base,6378,110,68,1016,1100,0.8045325779036826,0.7553191489361702,0.8606060606060606,0.7865168539325843,0.0,0.0,0.7857142857142857,0.8205128205128206
English,Base,6378,120,68,953,1200,0.8034682080924856,0.7679558011049724,0.8424242424242424,0.7906976744186047,0.0,0.0,0.7407407407407408,0.8225108225108224
English,Base,6378,130,68,641,1300,0.7952522255192879,0.7790697674418605,0.8121212121212121,0.8139534883720929,0.0,0.0,0.7142857142857143,0.8054298642533937
English,Base,6378,140,68,903,1400,0.8165680473372781,0.7976878612716763,0.8363636363636363,0.7906976744186047,0.0,0.0,0.8148148148148148,0.8340807174887891
English,Base,6378,150,68,1355,1500,0.816326530612245,0.7865168539325843,0.8484848484848485,0.7906976744186047,0.0,0.0,0.8571428571428571,0.828193832599119
English,Base,6378,157,68,1397,1570,0.8343195266272189,0.815028901734104,0.8545454545454545,0.8139534883720929,0.0,0.0,0.8148148148148148,0.852017937219731
English,Base,5248,20,68,145,200,0.736,0.7022900763358778,0.773109243697479,0.6428571428571429,0.0,0.3333333333333333,0.7777777777777777,0.7764705882352941
English,Base,5248,30,68,189,300,0.7410358565737052,0.7045454545454546,0.7815126050420168,0.6428571428571429,0.0,0.3333333333333333,0.7777777777777777,0.783625730994152
English,Base,5248,40,68,393,400,0.7637795275590551,0.7185185185185186,0.8151260504201681,0.6779661016949152,0.0,0.5,0.8181818181818182,0.7928994082840236
English,Base,5248,50,68,497,500,0.7450980392156863,0.6985294117647058,0.7983193277310925,0.6779661016949152,0.0,0.0,0.8571428571428572,0.7764705882352941
English,Base,5248,60,68,479,600,0.7407407407407407,0.7258064516129032,0.7563025210084033,0.689655172413793,0.0,0.0,0.8571428571428572,0.7625
English,Base,5248,70,68,580,700,0.7580645161290324,0.7286821705426356,0.7899159663865546,0.6785714285714286,0.0,0.5,0.8181818181818182,0.783132530120482
English,Base,5248,80,68,578,800,0.7630522088353414,0.7307692307692307,0.7983193277310925,0.689655172413793,0.0,0.5,0.8333333333333333,0.7852760736196319
English,Base,5248,90,68,592,900,0.7751937984496123,0.7194244604316546,0.8403361344537815,0.7017543859649124,0.0,0.5,0.8695652173913044,0.793103448275862
English,Base,5248,100,68,930,1000,0.8125,0.7591240875912408,0.8739495798319328,0.7272727272727273,0.0,0.0,0.8695652173913044,0.8505747126436781
English,Base,5248,110,68,1007,1100,0.8063241106719368,0.7611940298507462,0.8571428571428571,0.7407407407407407,0.0,0.0,0.9090909090909091,0.8323699421965318
