Label,Seed,Trainsize,NumEntities,UniqueEntities,AvgTokens,Lang,Model,F1
POLITIKER,7317,130,164,82,1.5548780487804879,English,Large,0.7960199004975125
BEHÖRDE,7317,140,73,23,1.5342465753424657,English,Large,0.8035714285714286
JOURNALIST,7317,140,0,0,0.0,English,Large,0.0
MEDIEN,7317,140,1,1,2.0,English,Large,0.0
PARTEI,7317,140,24,11,1.375,English,Large,0.875
POLITIKER,7317,140,186,90,1.553763440860215,English,Large,0.8078817733990148
BEHÖRDE,7317,150,78,24,1.5256410256410255,English,Large,0.8
JOURNALIST,7317,150,0,0,0.0,English,Large,0.0
MEDIEN,7317,150,1,1,2.0,English,Large,0.0
PARTEI,7317,150,25,12,1.36,English,Large,0.8823529411764706
POLITIKER,7317,150,196,91,1.5408163265306123,English,Large,0.7902439024390244
BEHÖRDE,7317,157,80,24,1.5125,English,Large,0.8108108108108109
JOURNALIST,7317,157,0,0,0.0,English,Large,0.0
MEDIEN,7317,157,1,1,2.0,English,Large,0.0
PARTEI,7317,157,25,12,1.36,English,Large,0.9032258064516128
POLITIKER,7317,157,204,95,1.5441176470588236,English,Large,0.8195121951219512
BEHÖRDE,9356,20,13,9,1.5384615384615385,English,Large,0.6464646464646464
JOURNALIST,9356,20,0,0,0.0,English,Large,0.0
MEDIEN,9356,20,1,1,2.0,English,Large,0.0
PARTEI,9356,20,0,0,0.0,English,Large,0.4210526315789473
POLITIKER,9356,20,19,16,1.5789473684210527,English,Large,0.7601809954751132
BEHÖRDE,9356,30,18,11,1.6111111111111112,English,Large,0.6857142857142857
JOURNALIST,9356,30,0,0,0.0,English,Large,0.0
MEDIEN,9356,30,1,1,2.0,English,Large,0.0
PARTEI,9356,30,1,1,1.0,English,Large,0.4444444444444444
POLITIKER,9356,30,29,23,1.5862068965517242,English,Large,0.826530612244898
BEHÖRDE,9356,40,25,12,1.44,English,Large,0.64
JOURNALIST,9356,40,0,0,0.0,English,Large,0.0
MEDIEN,9356,40,1,1,2.0,English,Large,0.0
PARTEI,9356,40,2,2,1.0,English,Large,0.8
POLITIKER,9356,40,59,37,1.5254237288135593,English,Large,0.8309178743961353
BEHÖRDE,9356,50,32,15,1.5625,English,Large,0.6476190476190475
JOURNALIST,9356,50,0,0,0.0,English,Large,0.0
MEDIEN,9356,50,1,1,2.0,English,Large,0.0
PARTEI,9356,50,3,3,1.3333333333333333,English,Large,0.7272727272727274
POLITIKER,9356,50,69,46,1.608695652173913,English,Large,0.8399999999999999
BEHÖRDE,9356,60,33,15,1.5454545454545454,English,Large,0.6972477064220183
JOURNALIST,9356,60,0,0,0.0,English,Large,0.0
MEDIEN,9356,60,1,1,2.0,English,Large,0.0
PARTEI,9356,60,9,5,1.2222222222222223,English,Large,0.6666666666666667
